name,receive_nobreak_won,receive_nobreak_faced,serve_nobreak_won,serve_nobreak_faced,receive_break_won,receive_break_faced,serve_break_won,serve_break_faced,serve_nobreak_pct,serve_break_pct,receive_nobreak_pct,receive_break_pct,serve_choke_pct,receive_choke_pct,choke_pct
V Estrella Burgos,428,1399,862,1466,30,91,104,171,0.5913154533844189,0.6051660516605166,0.3095396931287525,0.36649214659685864,-0.033850598276097696,-0.016952453468106123,-0.02540152587210191
A Ungur,45,172,95,169,1,7,12,25,0.5910780669144982,0.576,0.2977941176470588,0.38317757009345793,-0.0049219330855018,-0.04538345244639911,-0.025152692765950453
J Goodall,25,103,80,123,2,4,8,11,0.6457399103139013,0.6126126126126126,0.30049261083743845,0.40384615384615385,0.013127297701288749,-0.0633535430087154,-0.025113122653713328
Y Bhambri,147,431,253,479,16,35,27,59,0.5474956822107081,0.5471698113207547,0.3446327683615819,0.4148148148148148,-0.019674129110046606,-0.030182046453232893,-0.024928087781639748
J Smith,20,81,53,89,1,3,6,10,0.6190476190476191,0.6,0.30939226519337015,0.39805825242718446,-0.0009523809523809094,-0.0486659872338143,-0.024809184093097604
N Rubin,159,568,350,574,10,34,40,66,0.6142433234421365,0.6024096385542169,0.29191616766467066,0.373134328358209,-0.008166315112080418,-0.04121816069353832,-0.024692237902809368
A Pavic,63,226,158,258,5,14,16,27,0.6201117318435754,0.5984251968503937,0.30368098159509205,0.39473684210526316,0.0016865349931816272,-0.051055860510171115,-0.024684662758494742
T Seyboth Wild,21,81,45,82,0,2,5,10,0.5989010989010989,0.5909090909090909,0.3149171270718232,0.39215686274509803,-0.012007992007992057,-0.037239735673274856,-0.024623863840633455
M Alund,59,192,97,171,4,10,17,31,0.5940959409594095,0.5877862595419847,0.3253424657534247,0.4,-0.013690318582575172,-0.03465753424657534,-0.024173926414575254
M Purcell,59,186,114,203,4,13,16,27,0.5874587458745875,0.5984251968503937,0.3321678321678322,0.3893805309734513,-0.030966450975806286,-0.017212698805619132,-0.024089574890712707
G Melzer,117,341,201,344,13,30,27,44,0.5968468468468469,0.6041666666666666,0.3469387755102041,0.4076923076923077,-0.027319819819819773,-0.020753532182103608,-0.02403667600096169
