,receive_nobreak_won,receive_nobreak_faced,serve_nobreak_won,serve_nobreak_faced,receive_break_won,receive_break_faced,serve_break_won,serve_break_faced,serve_nobreak_pct,serve_break_pct,receive_nobreak_pct,receive_break_pct,serve_choke_pct,receive_choke_pct,choke_pct
M Raonic,4162,12044,8450,11752,349,985,476,662,0.7183597705028687,0.7034120734908137,0.34568511198945984,0.3585253456221198,-0.005052302987944995,0.027159766367340042,0.011053731689697524
S Robert,681,1850,1028,1759,66,176,120,217,0.5874125874125874,0.5678233438485805,0.3676923076923077,0.38405797101449274,-0.00041075643599306974,0.02363433667781497,0.01161179012091095
D Schwartzman,2971,7067,4308,7007,423,935,445,765,0.6151681440832981,0.5838150289017341,0.4195618808427515,0.4473429951690821,0.011353115181564028,0.012218885673669376,0.011786000427616702
J Ignacio Chela,358,868,497,888,46,109,62,118,0.5678137651821862,0.5596330275229358,0.40702479338842973,0.41148325358851673,-0.011819262340749575,0.035541539799913,0.011861138729581713
S Caruso,526,1415,834,1455,54,165,108,185,0.577491961414791,0.5894736842105263,0.37095709570957097,0.35471698113207545,-0.03198172279573529,0.056240114577495524,0.012129195890880119
N Gombos,390,1082,647,1040,43,115,74,126,0.6236842105263158,0.5929203539823009,0.3604060913705584,0.386046511627907,0.010763856544014922,0.014359579742651417,0.01256171814333317
R Haase,1406,4177,2610,4216,128,347,240,422,0.6195551436515292,0.5747126436781609,0.337152209492635,0.37583892617449666,0.02484249997336831,0.0013132833181383682,0.01307789164575334
S Kwon,585,1635,989,1585,60,157,92,159,0.6249258160237389,0.5868725868725869,0.3579250720461095,0.38910505836575876,0.018053229151151946,0.008820013680350756,0.013436621415751351
J Munar,689,1855,1042,1768,64,184,134,229,0.5920770877944326,0.5896656534954408,0.37084398976982097,0.36619718309859156,-0.01758856570100818,0.04464680667122941,0.013529120485110615
G Dimitrov,3931,10350,6802,10302,402,1068,583,883,0.6600653720438378,0.6541200406917599,0.3796172248803828,0.3784246575342466,-0.014054668647922135,0.04119256734613621,0.013568949349107037
S Bolelli,855,2641,1666,2670,62,189,162,277,0.6245487364620939,0.5888594164456233,0.32506384531192994,0.35294117647058826,0.015689320016470516,0.012122668841341687,0.013905994428906101
M Baghdatis,2094,5808,3625,5716,202,541,330,540,0.6342847317744154,0.609375,0.36052809749492215,0.37753510140405616,0.004909731774415355,0.02299299609086599,0.013951363932640673
C Alcaraz,395,982,615,996,57,127,67,118,0.6195255474452555,0.5825688073394495,0.39833641404805914,0.42731277533039647,0.016956740105805963,0.011023638717662675,0.013990189411734319
B Becker,610,1959,1243,2024,54,142,98,197,0.6153483992467044,0.531986531986532,0.31374453618261294,0.3884297520661157,0.06336186726017236,-0.03468521588350274,0.014338325688334808
K Nishikori,5210,13142,8392,13032,652,1507,677,1127,0.6439232409381663,0.6006519967400163,0.39616372149222173,0.43061605476042314,0.023271244198149982,0.005547666731798594,0.014409455464974288
J Lennard Struff,917,2707,1743,2654,68,208,144,221,0.6561365286855483,0.6355140186915887,0.3395083719273245,0.35064935064935066,0.0006225099939595365,0.02885902127797387,0.014740765635966704
F Krajinovic,976,2771,1697,2717,92,241,167,291,0.625133120340788,0.5805626598465473,0.3524904214559387,0.3870967741935484,0.024570460494240737,0.005393647262390298,0.014982053878315518
R Bemelmans,571,1770,1166,1835,47,138,92,160,0.6356589147286822,0.5846153846153846,0.3245989304812834,0.36554621848739494,0.03104353011329754,-0.0009472880061115255,0.015048121053593008
R Carballes Baena,638,1732,972,1637,71,178,117,219,0.5964306275187105,0.554858934169279,0.36790393013100436,0.39928057553956836,0.02157169334943145,0.008623354591436004,0.015097523970433726
G Muller,1201,4001,2709,3983,65,249,205,296,0.6791574822434484,0.6691919191919192,0.30163374786637404,0.3008595988538682,-0.01003443694847082,0.04077414901250583,0.015369856032017506
C Ruud,863,2330,1532,2394,91,251,146,230,0.6399358460304732,0.6242424242424243,0.3699588477366255,0.3732193732193732,-0.004306578211951111,0.03673947451725231,0.016216448152650602
Y Nishioka,1221,3422,2018,3412,117,337,242,423,0.5928246013667426,0.5774378585086042,0.35689948892674617,0.35926773455377575,-0.004613257141861542,0.037631754372970415,0.016509248615554438
E Donskoy,634,1991,1197,1978,41,143,111,195,0.6068334937439847,0.5796610169491525,0.3204208512673362,0.3333333333333333,0.007172476794832145,0.0270875179340029,0.017129997364417525
J Struff,812,2195,1394,2202,95,223,122,219,0.6333622936576889,0.5705329153605015,0.36949891067538126,0.4179566563467492,0.04282937829718737,-0.008457745671367957,0.017185816312909708
M Kecmanovic,657,1758,1107,1786,65,183,120,196,0.6208907741251326,0.6081081081081081,0.3729817007534984,0.3710247349823322,-0.007217333982975509,0.04195696577116622,0.017369815894095357
A Falla,615,1761,1051,1710,52,144,99,177,0.6160220994475138,0.5740072202166066,0.34981192907039227,0.3770491803278688,0.022014879230907298,0.012762748742523443,0.017388813986715372
J Londero,565,1504,919,1503,67,156,92,174,0.6132252027448534,0.5547445255474452,0.37468827930174564,0.41796875,0.03848067719740812,-0.0032804706982543577,0.017600103249576882
M Granollers,1447,4103,2391,3895,122,357,261,438,0.6145181476846058,0.5966542750929368,0.35284320723292883,0.3544857768052516,-0.002136127408331006,0.03835743042767722,0.018110651509673108
